Point ID,vel_0,vel_1
9644,0.00746737,0.00746737
9645,0.00648382,0.00648382
9646,0.0111259,0.0111259
9647,0.0056885,0.0056885
9648,0.00974113,0.00974113
9649,0.00841934,0.00841934
9650,0.0144947,0.0144947
9651,0.00738973,0.00738973
9652,0.0127031,0.0127031
9653,0.0109045,0.0109045
9654,0.0188112,0.0188112
9655,0.00958624,0.00958624
9656,0.0165232,0.0165232
9657,0.0140497,0.0140497
9658,0.0242514,0.0242514
9659,0.0123879,0.0123879
9660,0.0213806,0.0213806
9661,0.0179524,0.0179524
9662,0.0309589,0.0309589
9663,0.0159015,0.0159015
9664,0.0274403,0.0274403
9665,0.0226672,0.0226672
9666,0.0389961,0.0389961
9667,0.0202078,0.0202078
9668,0.0348124,0.0348124
9669,0.0281595,0.0281595
9670,0.04828,0.04828
9671,0.0253237,0.0253237
9672,0.0434953,0.0434953
9673,0.0342401,0.0342401
9674,0.0585111,0.0585111
9675,0.0311466,0.0311466
9676,0.0533067,0.0533067
9677,0.0404825,0.0404825
9678,0.0691041,0.0691041
9679,0.0373801,0.0373801
9680,0.0638125,0.0638125
9681,0.0461252,0.0461252
9682,0.0791225,0.0791225
9683,0.043443,0.043443
9684,0.0742604,0.0742604
9685,0.0499722,0.0499722
9686,0.0871845,0.0871845
9687,0.0483683,0.0483683
9688,0.0835078,0.0835078
9689,0.0503409,0.0503409
9690,0.0912656,0.0912656
9691,0.050714,0.050714
9692,0.0898863,0.0898863
9693,0.0453071,0.0453071
9694,0.0883641,0.0883641
9695,0.0486038,0.0486038
9696,0.0909257,0.0909257
9697,0.0340165,0.0340165
9698,0.0746132,0.0746132
9699,0.0403736,0.0403736
9700,0.0830686,0.0830686
9701,0.0195066,0.0195066
9702,0.0488366,0.0488366
9703,0.0267738,0.0267738
9704,0.0629181,0.0629181
9705,0.00806274,0.00806274
9706,0.0214041,0.0214041
9707,0.0130946,0.0130946
9708,0.0341987,0.0341987
9709,0.00237409,0.00237409
9710,0.00620528,0.00620528
9711,0.00455594,0.00455594
9712,0.0120746,0.0120746
9713,0.000527692,0.000527692
9714,0.00131811,0.00131811
9715,0.00115216,0.00115216
9716,0.00294889,0.00294889
9717,9.67306e-05,9.67306e-05
9718,0.000229492,0.000229492
9719,0.000229492,0.000229492
9720,0.000558092,0.000558092
9721,1.56321e-05,1.56321e-05
9722,3.54486e-05,3.54486e-05
9723,3.90955e-05,3.90955e-05
9724,9.04863e-05,9.04863e-05
9725,2.31708e-06,2.31708e-06
9726,5.06156e-06,5.06156e-06
9727,6.00444e-06,6.00444e-06
9728,1.33343e-05,1.33343e-05
9729,3.23621e-07,3.23621e-07
9730,6.84468e-07,6.84468e-07
9731,8.58366e-07,8.58366e-07
9732,1.84159e-06,1.84159e-06
9733,4.37288e-08,4.37288e-08
9734,8.95974e-08,8.95974e-08
9735,1.17155e-07,1.17155e-07
9736,2.4359e-07,2.4359e-07
9737,5.93645e-09,5.93645e-09
9738,1.17087e-08,1.17087e-08
9739,1.57452e-08,1.57452e-08
9740,3.16426e-08,3.16426e-08
9741,8.58897e-10,8.58897e-10
9742,1.60761e-09,1.60761e-09
9743,2.18749e-09,2.18749e-09
9744,4.20379e-09,4.20379e-09
9745,1.41722e-10,1.41722e-10
9746,2.48225e-10,2.48225e-10
9747,3.3639e-10,3.3639e-10
9748,6.08305e-10,6.08305e-10
9749,2.73736e-11,2.73736e-11
